"catv" "ivv" "lvcr" "ovid" "pers" "verg"
"uel" 0 0.181627381336778 0.0268212672017166 0.0384127837744401 0.0898069151324652 0.0267455397879236
"terram" 0.01431229426077 0.0282531482079432 0.0887164992056779 0.0320106531453668 0.0224517287831163 0.0487712784368019
"causa" 0 0.0403616402970617 0.0784006272050176 0.0537778972842162 0 0.0267455397879236
"interea" 0.04293688278231 0.0565062964158863 0.0226949184014525 0.0320106531453668 0 0.0849564205028162
"sint" 0.02862458852154 0.024216984178237 0.158864428810167 0.0166455396355907 0.0224517287831163 0.0125861363707876
"summa" 0.02862458852154 0.0363254762673555 0.0804638016051497 0.0332910792711814 0.0898069151324652 0.0424782102514081
"cetera" 0.02862458852154 0.0121084920891185 0.0866533248055458 0.0460953405293282 0.0224517287831163 0.0346118750196658
"litora" 0.02862458852154 0.00807232805941233 0.00412634880026409 0.0473757666551428 0 0.0991158239199522
"quas" 0.04293688278231 0.048433968356474 0.0268212672017166 0.0742647152972509 0 0.0314653409269689
"uero" 0.07156147130385 0.00807232805941233 0.0453898368029049 0.0396932099002548 0.0224517287831163 0.0692237500393317
"bracchia" 0.02862458852154 0.024216984178237 0.00825269760052817 0.0998732378135443 0 0.0220257386488783
"deum" 0.02862458852154 0.00403616402970617 0.0453898368029049 0.0486561927809575 0 0.0645039489002863
"suo" 0.02862458852154 0.00807232805941233 0.0557057088035652 0.0768255675488803 0 0.0204524716025298
"dextra" 0.01431229426077 0.0161446561188247 0.00206317440013204 0.0588996017874749 0 0.0802366193637708
"alta" 0.02862458852154 0.0201808201485308 0.00412634880026409 0.0371323576486255 0 0.100689090966301
"alto" 0.01431229426077 0.0121084920891185 0.0226949184014525 0.0371323576486255 0.0673551863493489 0.0865296875491646
"coniunx" 0.05724917704308 0.00403616402970617 0 0.0742647152972509 0 0.0613574148075894
"medio" 0.01431229426077 0.0282531482079432 0.0206317440013204 0.0614604540391042 0 0.0566376136685441
"sidera" 0.07156147130385 0.0201808201485308 0.0330107904021127 0.0345715053969961 0 0.0770900852710739
"dea" 0.01431229426077 0.00403616402970617 0.00618952320039613 0.0742647152972509 0 0.059784147761241
"possit" 0.01431229426077 0.0161446561188247 0.138232684808847 0.0179259657614054 0.0449034575662326 0.0204524716025298
"quamuis" 0.05724917704308 0.0565062964158863 0.0639584064040933 0.0576191756616602 0.0673551863493489 0.00629306818539379
"solis" 0.02862458852154 0.0161446561188247 0.119664115207659 0.0332910792711814 0.0224517287831163 0.0157326704634845
"iuppiter" 0.08587376556462 0.024216984178237 0.00412634880026409 0.0550583234100309 0.134710372698698 0.0550643466221956
"undas" 0.07156147130385 0.00403616402970617 0.0288844416018486 0.0665821585423629 0 0.0409049432050596
"aequora" 0.04293688278231 0.00807232805941233 0.0268212672017166 0.0486561927809575 0 0.0645039489002863
"pariter" 0.01431229426077 0.0403616402970617 0.0515793600033011 0.0537778972842162 0.0224517287831163 0.028318806834272
"uti" 0.01431229426077 0 0.173306649611092 0.00768255675488803 0 0.00786633523174224
"auro" 0.02862458852154 0.0161446561188247 0.00825269760052817 0.0460953405293282 0.0898069151324652 0.0707970170856801
"quorum" 0.02862458852154 0.0766871165644172 0.0866533248055458 0.0217672441388494 0 0.0235990056952267
"suis" 0.01431229426077 0.0121084920891185 0.047453011203037 0.0742647152972509 0 0.0157326704634845
"fama" 0.02862458852154 0.0201808201485308 0.0144422208009243 0.0384127837744401 0.0224517287831163 0.0770900852710739
"ire" 0 0.0201808201485308 0.0557057088035652 0.0448149144035135 0 0.0424782102514081
"saxa" 0.01431229426077 0.0282531482079432 0.0515793600033011 0.0320106531453668 0.0224517287831163 0.0550643466221956
"uenit" 0.04293688278231 0.0524701323861802 0.0350739648022447 0.0422540621518841 0.112258643915582 0.0361851420660143
"fortuna" 0.04293688278231 0.048433968356474 0.00618952320039613 0.0230476702646641 0 0.0896762216418615
"hac" 0.02862458852154 0.0443978043267678 0.0268212672017166 0.0512170450325868 0.0449034575662326 0.0393316761587112
"nomine" 0.05724917704308 0.00807232805941233 0.0226949184014525 0.0524974711584015 0 0.0550643466221956
"prius" 0.10018605982539 0.0121084920891185 0.0804638016051497 0.0384127837744401 0.0224517287831163 0.0204524716025298
"quasi" 0 0.00403616402970617 0.18155934721162 0.00384127837744401 0.0224517287831163 0
"uidit" 0.01431229426077 0.0282531482079432 0.00825269760052817 0.0768255675488803 0.0224517287831163 0.0314653409269689
"uirgo" 0.1431229426077 0.0121084920891185 0 0.0627408801649189 0 0.0487712784368019
"loca" 0 0 0.107285068806866 0.0320106531453668 0 0.0235990056952267
"quin" 0.04293688278231 0.00807232805941233 0.0866533248055458 0.0153651135097761 0.0898069151324652 0.045624744344105
"tandem" 0.02862458852154 0.0363254762673555 0.0268212672017166 0.0307302270195521 0.0224517287831163 0.0676504829929832
"dies" 0.02862458852154 0.024216984178237 0.0412634880026409 0.0320106531453668 0.0898069151324652 0.0534910795758472
"oculis" 0.08587376556462 0.0201808201485308 0.0453898368029049 0.0320106531453668 0 0.0519178125294988
"sese" 0.08587376556462 0.0121084920891185 0.047453011203037 0.00128042612581467 0.0898069151324652 0.0849564205028162
"tunc" 0.01431229426077 0.141265741039716 0.0185685696011884 0.0422540621518841 0.134710372698698 0.0110128693244391
"uestigia" 0.08587376556462 0.024216984178237 0.0453898368029049 0.0422540621518841 0 0.0377584091123627
"aera" 0.01431229426077 0.024216984178237 0.0598320576038293 0.0512170450325868 0.0449034575662326 0.0188792045561814
"dat" 0 0.024216984178237 0.0165053952010563 0.0473757666551428 0.0224517287831163 0.059784147761241
"necessest" 0 0 0.177432998411356 0 0 0.00629306818539379
"quantum" 0.08587376556462 0.100904100742654 0.0247580928015845 0.0332910792711814 0.134710372698698 0.0220257386488783
"ecce" 0 0.0282531482079432 0 0.0512170450325868 0.0898069151324652 0.0582108807148925
"huic" 0.01431229426077 0.00403616402970617 0.00618952320039613 0.0563387495358455 0 0.0613574148075894
"adeo" 0.01431229426077 0.0605424604455925 0.0887164992056779 0.0102434090065174 0.0449034575662326 0.028318806834272
"idem" 0.05724917704308 0.0645786244752987 0.0330107904021127 0.0345715053969961 0.0224517287831163 0.0361851420660143
"minus" 0.02862458852154 0.0322893122376493 0.0804638016051497 0.0281693747679228 0 0.0251722727415752
"terris" 0 0.0322893122376493 0.0680847552043574 0.0281693747679228 0.0224517287831163 0.0361851420660143
"ulla" 0.02862458852154 0.0322893122376493 0.0742742784047535 0.0268889486421081 0.0224517287831163 0.0298920738806205
"dicere" 0.12881064834693 0.0443978043267678 0.0515793600033011 0.0320106531453668 0.112258643915582 0.0173059375098329
"multis" 0.11449835408616 0.0565062964158863 0.0907796736058099 0.011523835132332 0 0.0173059375098329
